,TCGA.BH.A1EV,TCGA.BH.A1F8,TCGA.BH.A1F0,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FH,TCGA.BH.A203,TCGA.BH.A1EU,TCGA.BH.A1FM,TCGA.BH.A1FR,TCGA.BH.A1EW,TCGA.BH.A208,TCGA.BH.A1FJ,TCGA.BH.A1EN,TCGA.BH.A1FN,TCGA.BH.A1FE,TCGA.BH.A1ET,TCGA.BH.A204,TCGA.BH.A1EO,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A1FB,TCGA.BH.A1FG,TCGA.BH.A209
chr6;31318499;31328176,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7229,7.7512
chr3;192890184;192890762,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.78,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr8;13817126;13819095,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7222,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr19;55060872;55060891,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7218,7.7512,7.7512,7.7512,7.7512
chr2;34474248;34511990,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.8062,7.7512,7.3458,7.7512,7.7512,7.7512,8.0744,7.3764,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr15;53492794;53493082,7.7512,7.2625,5.7589,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr8;38460400;39372806,7.7512,9.7833,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr1;72356822;72357153,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.718,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr1;218878014;219481650,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.7863,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr7;134114444;134121491,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7156
chr8;137121784;137827410,7.7512,7.7512,7.7512,7.7512,9.7875,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr8;127328427;128027307,7.7512,7.7512,7.7512,7.7512,7.7512,9.7879,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr7;132874513;132874595,5.7127,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr4;167894196;167897318,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7113,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr1;199142298;199143883,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,6.8948,7.7512,5.8633,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr11;126819659;126821174,7.7512,5.7093,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr15;27674351;27678978,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7085,7.7512,7.7512,7.7512
chr20;11780544;12613100,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.7942,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr1;192451498;192451767,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7078,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr15;58542730;58547840,7.7512,7.7512,7.7512,7.7512,7.7512,5.7053,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr10;77853416;77957957,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.7973,7.7512,7.7512,7.7512,7.7512,7.7512
chr7;49473311;49474557,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7038,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr8;33388281;33389044,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7027,7.7512,7.7512
chr10;61115880;61140488,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.7999,7.7512,7.7512,7.7512,7.7512
chr15;20041119;20056983,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7022,7.7512,7.7512,7.7512,7.7512,7.7512
chr3;162506045;162506146,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7022,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr20;12785877;12833028,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.8003,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr3;1131035;1133591,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7017,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr1;219495392;219824573,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.8011,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr9;124983261;125708737,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.8012,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr15;32217691;32220019,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.7005,7.7512,7.7512,7.7512,7.7512
chr2;52527590;52527743,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,6.4091,7.7512,7.7512,9.247,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr3;130044855;130087393,7.7512,7.7512,6.2782,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,6.3989,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,8.2584,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr8;140520764;141371192,7.7512,7.7512,7.7512,7.7512,7.7512,9.8032,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr19;57304389;57430604,7.7512,7.7512,7.7512,9.8051,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr8;127673137;127832216,7.7512,7.7512,7.7512,7.7512,9.8059,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr2;163880862;163881158,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.696,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr22;24706748;24707057,7.7512,7.7512,7.7512,7.7512,7.7512,5.6957,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr1;223020870;223021354,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6951,7.7512,7.7512
chr11;35519917;35730628,7.7512,7.7512,7.7512,7.7512,9.8073,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr8;31256849;31257725,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6951,7.7512,7.7512,7.7512,7.7512,7.7512
chr8;143227585;143227622,7.7512,7.7512,7.7512,7.7512,5.6937,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr13;72321162;72324390,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6936,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr10;69522730;69523086,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,6.5395,6.0368,7.7512,7.7512,7.7512,7.7512
chr6;133851208;133878041,7.7512,7.7512,9.8102,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr3;145761448;145761775,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6919,7.7512,7.7512,7.7512
chr8;23296618;23297087,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6911,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr15;76599170;76603434,7.7512,7.7512,7.7512,5.6905,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr20;1580353;1613247,7.7512,7.1192,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.0744,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.5486,7.7512,7.7512,7.7512,7.7512
chr10;50097459;50107474,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6889,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr9;28092893;28094659,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6889
chr1;152583230;152613762,7.7512,7.7512,8.8886,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,6.0734,7.7512,7.7512,7.7512,7.7512,7.7512
chr13;108629954;108631301,7.7512,7.7512,5.6819,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr7;43588569;43591769,7.7512,5.6812,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr1;10611363;10616743,5.6809,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr4;163730512;163733960,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6784,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr6;32656814;32658841,7.7512,7.7512,7.7512,9.0046,7.7512,7.7512,7.7512,7.7512,8.7017,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,6.453,7.7512,7.7512
chr7;4644145;4644243,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6777,7.7512,7.7512,7.7512,7.7512,7.7512
chr8;38259191;38433805,7.7512,9.8251,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr2;116872015;116872017,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6751,7.7512,7.7512,7.7512
chr11;35015751;35499335,7.7512,7.7512,7.7512,7.7512,9.8276,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr2;233604592;233608068,7.7512,7.7512,5.6744,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr6;31318754;31327629,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6732,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr5;177800550;177827964,8.1566,7.7512,7.7512,7.7512,7.7512,7.7512,6.3751,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.1993
chr4;172068222;172068368,7.7512,7.7512,5.6726,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr17;33946562;33948043,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6721,7.7512,7.7512,7.7512,7.7512
chr1;152583051;152614064,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.8306,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr19;55382850;55704280,7.7512,7.7512,7.7512,9.832,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr14;99115837;99462552,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.8331,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr9;1449326;1449360,7.7512,7.7512,7.7512,7.7512,7.7512,5.6685,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr17;50824466;51168984,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,9.834,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chrX;7157438;7157752,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6603,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr12;83769511;83771462,7.7512,7.7512,6.1721,7.7512,7.7512,6.3125,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr8;134436301;134829721,7.7512,7.7512,7.7512,7.7512,7.7512,9.8427,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr12;116853334;116853786,7.7512,7.7512,7.7512,7.7512,5.6581,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr12;73941492;73941576,9.8449,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr4;172068257;172068354,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,5.6572,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr8;118712342;119019336,7.7512,7.7512,7.7512,7.7512,7.7512,9.8499,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr8;121460811;121511853,7.7512,7.7512,7.7512,7.7512,9.8503,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
chr1;73220047;73226560,7.7512,7.7512,7.7512,5.6515,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512,7.7512
