,TCGA.BH.A1EV,TCGA.BH.A1F8,TCGA.BH.A1F0,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FH,TCGA.BH.A203,TCGA.BH.A1EU,TCGA.BH.A1FM,TCGA.BH.A1FR,TCGA.BH.A1EW,TCGA.BH.A208,TCGA.BH.A1FJ,TCGA.BH.A1EN,TCGA.BH.A1FN,TCGA.BH.A1FE,TCGA.BH.A1ET,TCGA.BH.A204,TCGA.BH.A1EO,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A1FB,TCGA.BH.A1FG,TCGA.BH.A209
cg05999195>NA,6.966248111,7.394768287,6.410660916,7.915768842,7.204501096,6.000012894,7.36527797,5.789318126,4.917280676,7.442083641,5.056288533,5.622047937,6.476753879,6.633352694,7.620227284,5.446133458,5.361773271,5.993385592,6.259322497,6.293125987,3.464163544,6.70036463,7.104175281,6.801908409,7.210488601
cg19975025>NA,3.108382131,2.806859991,2.287408412,3.414145521,1.582762425,1.826460163,2.090305021,2.816912339,3.537132421,3.268612272,2.17126653,2.531897692,4.160039988,3.326873,1.477543799,2.552216837,2.952157974,1.77008668,1.807055805,0.609340031,1.466007019,1.807960124,3.719978585,2.274408175,3.230574022
cg25599786>PDCD6,3.121969278,4.762455324,5.129151595,4.187736837,4.525605108,4.986135411,3.422915063,4.43160633,3.311994221,3.092220159,3.028774596,4.823857468,5.022811938,3.052920641,4.676176175,4.141156869,3.060622936,3.119066457,5.069760548,2.796782512,3.124015382,4.431276283,4.722339332,4.410175709,5.180033075
cg00842231>LOC55908;DOCK6,3.93069291,4.014384731,4.302320835,5.57381499,3.649926456,3.280802026,5.72860459,3.772546954,5.284952342,4.703950912,5.160673238,6.002588015,5.155369563,4.772473352,3.09246714,4.708775297,5.870217062,5.652429235,2.435620165,4.260371232,3.499853246,5.16755514,6.214986742,4.04003036,4.942360496
cg27535677>NA,2.952108444,3.872000626,4.232380376,3.694872731,2.554266817,3.07297711,2.102207278,3.421908692,4.059844098,1.67213976,3.33870401,3.05447333,2.1783023,2.261028471,3.161557321,2.050888752,2.308899198,2.874057858,3.024179987,1.91393612,1.993664542,3.971184959,3.54563024,1.668099067,4.026067481
cg26348243>LTA,4.436885744,4.663439547,3.908961732,5.278667874,5.647245558,4.146375601,4.833016829,3.990844483,4.346580672,5.616054949,3.372739541,2.896958149,3.465619534,4.403531835,3.484706213,4.046910146,3.37923714,4.47700822,4.843680052,5.174007596,5.184508555,3.069820245,4.734359704,5.344129694,2.779673611
cg04835431>BRF1,5.404912812,5.509246669,5.169778911,6.504286715,4.980578659,4.834208904,7.674937909,5.131678354,7.300817037,5.864748723,6.72758444,6.419088053,7.05649786,6.101346382,3.835209914,6.395610923,6.433343653,6.865812097,4.863511597,5.835408816,4.645062018,6.305711405,6.610478317,5.01896862,6.763785778
cg02374207>MACROD1,4.052081174,4.565910728,5.14569584,2.945088473,3.25634698,3.81550924,3.574512815,4.587022775,4.605893358,2.79261994,4.281415947,3.317916983,5.630338382,3.135020315,4.72757257,2.796724458,2.919412326,3.602817296,6.331487268,5.502300029,4.507259759,5.175098991,3.611615983,3.877647356,5.47230881
cg24663683>NA,4.893491716,4.90824911,3.858161409,6.500936935,4.535228904,3.047951689,6.06542078,2.182763721,5.935489336,4.746846754,4.928918687,4.842303008,3.144584749,3.915451846,4.048124184,3.357727655,3.955211542,6.173473642,3.428005282,5.325841721,3.365118888,3.406056736,4.039496562,4.313927933,3.599266389
cg22811668>MKNK2,7.040328482,5.170047187,7.802583736,6.887133841,6.661483698,7.649133763,6.927581399,6.511424987,8.081592657,6.854568048,6.995324051,3.626792075,3.125755724,5.773283262,7.036770608,5.299303279,3.147111144,6.920649395,8.079361246,7.757386394,6.844568928,7.194742718,5.58914892,7.172279092,8.420566238
cg07747661>PKNOX2,5.019697947,3.496931901,3.98221161,4.902584815,5.057036751,3.98372268,5.587841655,6.266072706,3.672749994,4.609003447,4.889346227,5.273577019,5.698772486,3.41041397,4.842240782,3.817172369,5.063070656,4.818007072,5.406169716,4.118622279,5.606458496,5.72876374,5.755632639,4.697823426,5.748051307
cg19589652>SSC5D,6.102571508,4.679797839,5.911972716,6.791921136,5.031534253,6.482310662,5.822767833,6.017726663,6.837510983,5.371808513,5.041608151,6.802953378,6.399492876,6.563172488,3.977353645,6.373287228,6.651905304,6.11333297,3.044194487,3.809024019,3.825054526,6.469617446,6.428329508,4.546262175,4.061983747
cg10198568>FRMD4A,2.332090523,2.379546494,2.989243167,1.242895448,2.099700217,2.012217079,2.478549629,2.095753782,0.988032116,1.295540794,1.96207876,1.502087128,1.357613222,2.111777773,3.368100687,1.965569773,1.232936743,2.209993025,3.938956134,4.698965919,2.903333394,2.973693678,1.250667083,1.730963644,3.056083791
cg23779103>NA,6.029578326,6.269002465,5.428951349,6.714552734,4.531320504,4.448210891,6.137312639,6.173660591,5.563667935,5.326870507,6.099949395,4.227304532,6.328736199,4.600593322,5.674154749,3.654175888,5.12938945,4.269715018,4.892069116,6.163374538,4.670464139,5.244454041,5.375834352,6.076748971,4.686403012
cg01128460>CACNA1H,2.169669532,3.097102686,4.35247013,2.514373383,2.37398779,4.025485322,3.076662367,2.465805203,4.477828919,3.199553464,3.209652316,2.380199317,1.937495328,3.938692313,3.620822048,2.80271928,2.461386964,4.383015866,5.314831147,7.434382569,3.164427965,3.507407747,3.010958184,2.382693389,3.292386844
cg22779195>NA,4.704494151,4.861153541,5.929921591,5.301212854,4.626002638,5.356641374,6.086823346,5.327689735,5.899062506,6.004926634,6.760376869,6.381129389,5.177537764,4.68523117,4.688678882,3.574676424,4.12060201,3.676277156,5.294253591,3.608521015,5.822558157,4.290625959,4.430455997,4.464262882,6.272723465
cg17222685>NA,3.955366575,4.841903124,4.596660701,3.21469557,5.414379352,4.18420661,4.790665463,5.625305803,4.668708221,4.413114119,3.453238317,2.913795901,2.225010386,4.340216557,5.540031396,3.402910869,3.497988216,4.198720465,4.565669488,3.641998413,3.487002378,5.125648165,5.571380899,2.927378304,5.048655579
cg15708909>HLA-DRB5,1.784862481,2.462325543,2.2153121,1.176272978,1.936206846,1.707457038,2.518245658,1.773950577,2.480965188,3.509299334,3.298665836,1.665628135,4.192363973,2.37586768,2.392609304,3.434547123,2.512845121,3.878289585,1.566791554,3.440684264,2.599408477,1.771396261,2.547188812,3.864454755,1.819707223
cg17759252>CRTC1,3.422375616,2.16202208,3.375766519,3.895232066,1.099609379,2.33624091,1.522041386,2.510654154,4.681862193,2.627047616,1.810256095,3.773645379,4.000086319,1.761921488,2.599810681,1.439521558,3.238029625,2.160590434,1.605558101,1.305288305,2.91479981,2.262801459,2.876200739,2.879275768,1.918294466
cg04566147>NA,4.188279196,3.955041552,4.295385449,4.833367448,4.420532641,2.399507308,5.821688269,2.476174737,4.862520855,2.19898262,4.427033809,4.274166184,3.474608231,5.012387831,4.721414704,2.573931728,3.070935908,2.856933786,4.376039233,2.970255248,3.827261046,3.633418406,3.83891353,3.171511999,4.969608904
cg20368463>PQLC1,4.447498164,2.347525318,4.28213985,4.526617143,5.366674091,3.757911056,2.495349263,5.246238876,2.281534815,3.106336098,5.283552789,2.399046287,4.606807833,4.872710024,4.810751725,4.429589394,4.780564769,4.214296824,3.089206533,4.670770346,3.450728863,5.079875894,4.869694395,5.131767174,3.33594341
cg16034541>MUC4,4.143322629,2.825473719,2.084941503,3.606321044,2.289651334,2.10537603,4.024286039,3.205694732,2.407299042,2.751593095,3.953813403,2.495040119,2.173090342,4.391109568,1.797359314,1.467503847,2.325502721,2.30651435,3.300520588,1.470330808,3.79729071,1.911458729,4.392332816,4.148402844,3.407686153
cg25606780>NA,5.29562199,6.0254788,5.867990981,5.939671369,3.875677562,4.303708382,4.548463533,4.756781243,3.243174811,3.387413798,4.288025164,5.179438475,5.329673883,4.628449255,4.311801321,3.060814481,3.828003715,3.951554287,4.054624445,3.223486311,3.486384823,5.207559853,4.558749171,5.655207157,4.292075595
cg26364809>NA,4.443145473,4.820134317,4.200622133,3.006751526,3.859727599,4.219054697,3.277166829,4.111578586,3.467838613,2.542816794,3.515651762,4.683206902,3.125776788,3.985815825,5.007992539,3.38645114,2.929127373,4.57099422,5.077640921,5.26178266,5.433174816,5.007993551,3.768386003,3.217496685,5.611627186
cg21610815>PAX8;LOC654433;LOC440839,1.894724123,1.761795524,5.722106229,1.765848621,1.542176586,5.516984254,3.430002795,4.550749069,2.278584284,1.725919111,6.205770409,2.415062041,5.296851504,2.651371044,1.504949917,5.848817098,1.779712391,2.594727326,2.408034839,1.929199653,1.956360901,2.634100433,3.503011501,1.669775733,2.5697764
cg09654669>NA,5.001028051,3.022244986,3.146663284,2.829210437,2.53566814,4.3204462,2.503529443,3.309813175,3.513991484,2.474185953,1.944189063,1.920860201,3.224974456,3.558487126,4.325208111,1.77589223,2.807945987,1.403590223,2.963400176,3.999865032,4.705561432,5.126189195,4.800279781,2.775846169,4.122267554
cg00502509>MAD1L1,4.242862249,4.076900183,4.005278448,5.056835154,5.201492509,4.58370401,4.59896957,4.662007345,5.664961401,6.731026263,3.114802462,5.034535877,5.54782007,3.663038699,3.520379304,3.814586801,6.01910199,4.764753833,3.988953094,3.18977229,3.330571534,3.777020048,5.14731843,5.521865931,3.159620912
cg22265273>CETN1,3.950239758,6.448702424,6.409148364,5.09419178,5.133319397,5.456098645,4.459908903,5.519541957,6.780796988,4.65761978,4.852576995,5.117717931,3.331101904,6.095020156,6.073703305,4.086024913,3.878379208,5.380317042,6.469269212,6.852924007,5.404708621,5.599414255,3.828483068,5.341283178,6.913508802
cg22939563>DNAJB6,1.571277108,4.839366099,4.029344184,3.584722957,1.832743233,1.73603219,2.019973593,4.028879318,3.259088315,1.936127536,1.980204449,2.202522318,5.057387603,4.108142214,4.489247699,4.632916792,4.175229327,2.42783207,4.081935134,4.199317324,3.937836952,1.755904206,3.749631467,4.131537231,3.891445705
cg08722200>NA,6.058851243,7.002562358,5.396922854,7.390840012,5.265373574,5.332580995,7.023105654,6.13281137,7.152815599,6.443378553,7.109060045,6.943552802,5.304552536,6.851024227,5.50888924,5.476286077,6.310966324,6.036568819,4.391799909,4.663563116,6.553700038,6.859467787,6.642633956,6.656169052,5.191548152
cg18616243>PEX11G,2.91858813,5.552274909,5.752399997,4.619587341,4.680764435,5.22671877,4.057517332,3.649315747,5.831195821,3.974063779,4.425412664,4.44782631,3.950455758,4.897211766,6.589349339,3.204260388,2.932076157,4.705959817,5.458625593,6.231325182,4.305576077,5.022017526,3.927417318,3.798086038,5.546188743
cg19593255>DAZAP1,5.378016768,4.123917168,4.884986791,3.688613733,3.887512829,4.821132593,3.723041613,4.21454167,4.254296956,3.221558052,4.748389697,4.708381234,3.273252317,4.369310632,5.653835685,3.337889218,3.148821271,5.29130924,5.681318978,6.686930329,4.908739862,6.079066992,4.82553254,3.959805369,5.740668425
cg22120852>NA,2.775910671,2.650340143,3.370153372,1.687182738,2.890369229,3.397869599,2.363925056,2.144420683,1.894852592,2.228668073,2.893694722,3.537119599,2.021816644,2.478411903,4.341265313,1.854313044,1.963960192,3.509322691,5.779613029,5.581460689,4.399445163,4.100934653,1.858724244,2.205783227,4.151531921
cg05630111>LASS2,5.33081419,4.745499452,5.098482132,5.960002134,3.320978692,4.045988393,5.300246739,4.683902165,5.943085223,4.996172079,3.977141757,5.546203828,3.65434045,3.682661933,3.794735179,2.461916264,4.118439914,5.528994426,3.453123855,3.537297888,3.514118232,3.718652245,4.211054319,5.711973758,2.639150256
cg17842912>CXXC5,6.444443566,6.808059069,6.248582524,6.190524975,4.174403812,5.873392405,4.614990548,5.682275336,6.833550699,4.536497593,6.351677212,4.81877775,5.258190937,5.775962057,6.556233209,4.910577311,4.416662622,5.702652631,6.343348053,6.610499106,5.601316127,4.515807971,4.654475439,5.754619186,6.08541533
cg26312542>TEX12,5.121307732,5.512939654,5.719960121,4.441411627,5.719444556,3.77000559,6.728225107,6.767181727,5.891029324,6.54568494,5.061036464,5.699607897,4.643289001,4.617654716,6.765875476,4.212607968,4.350002286,5.926388774,5.563450941,4.076020788,4.583233235,5.766816528,6.52080302,5.073574328,4.555977223
cg24332347>TARBP1,3.398135699,3.463803875,4.579919026,2.852137195,2.791351251,4.512860194,2.713291785,3.519341079,3.681889044,2.245840427,3.348732999,3.333752482,3.985536599,4.240704849,3.942123449,2.663902456,2.551924343,3.535119883,5.691899843,5.046931951,4.287758587,4.37660212,2.454494983,2.999876041,5.247416961
cg26663636>NOS1AP,7.107985876,4.690687659,6.16177476,4.635982206,4.32246079,3.337806938,7.21883963,5.54939516,6.544002215,5.063782734,3.907615429,6.381396409,4.784106687,5.026563323,4.257101256,3.310479543,4.421594224,4.616846073,4.207139863,3.507999016,3.884833868,3.39531148,4.60131159,5.470259882,3.996681732
cg04683330>FASN,4.50175481,5.762525811,6.063086716,6.186173486,4.114504906,5.143931038,6.242792475,4.367380342,6.112751632,4.261733482,5.851640409,5.157255945,4.626656457,5.849039787,4.218927846,5.111144693,3.548663504,6.670857638,5.101835886,6.307725443,5.198401455,5.858352458,5.797990935,5.335081435,6.324616617
cg00409636>FAM176A,5.646761604,5.498965019,5.199739687,4.411435986,4.849484424,4.17809154,5.597509146,5.731170275,5.890308905,4.063652548,5.236314802,3.566009666,3.287818065,5.037998583,5.28488989,6.020090565,5.62151177,4.071379252,4.340794332,6.746825599,4.690485212,4.00423164,3.898613469,5.030836773,3.42012153
cg00670539>CETN1,3.481858934,5.532087939,5.259210361,4.73178701,3.796097997,4.726932694,3.867220111,4.437580977,6.780956187,3.814598492,4.560269461,4.081431114,2.873147784,5.272555428,5.307590728,3.316311948,3.745414105,4.937467192,5.446056721,7.205878877,4.152868594,4.849690424,3.314884833,4.731766951,5.972527637
cg13960334>SLC37A1,7.01144419,6.493308953,6.192654827,6.121839945,6.446826887,7.221888847,4.280511044,5.350070511,6.291724505,6.578779223,5.515605271,3.242568191,4.92629878,5.12382532,6.190511279,6.894772694,2.580752011,5.957556246,6.613206535,5.8467028,4.254751998,4.998235437,4.616007093,5.340982247,5.215615631
cg13692222>BRF1,5.277398263,5.351835154,5.132284817,6.981796997,5.050977004,4.907880293,7.155401784,5.773497107,7.132419413,6.085775231,6.636722342,6.466843662,6.736120711,6.857727267,4.178619185,6.621821533,6.876259307,6.77945631,3.966801091,5.680212443,5.118083084,6.35792218,6.72188839,5.600696037,6.139118461
cg02705759>SORCS2,3.558426491,5.108058373,3.32094645,3.014570843,4.122736212,3.120915461,4.37863554,3.769680291,2.48693149,4.369150349,5.081586119,5.798840772,4.594668211,2.669781971,4.458313786,2.845060305,4.740083071,4.731069178,5.124725552,5.542320647,4.570931514,4.790822198,4.394003461,3.166852235,5.458091445
cg09075268>CACNA1H,5.912783708,6.612259716,5.868039187,7.08707824,6.273393662,5.722349818,7.023562361,4.300792056,6.775450694,5.158715587,4.942994484,4.66432098,5.299945892,4.275731842,6.661433133,3.817638668,6.001623294,6.352806225,4.180387798,6.321598437,4.672890123,6.272013818,6.212487792,6.874767995,5.821898372
cg20749584>RIN1,3.88966224,6.11798034,4.881910034,6.122517103,5.699459134,5.704962496,4.093040564,5.406573422,6.221116959,4.453595828,4.043553868,4.412827985,6.13689946,3.911905801,5.316268854,4.328099707,4.546338769,5.63428634,4.871115393,5.768485438,4.350726612,5.339480324,5.152352002,6.214847009,5.835754656
cg02025737>NA,3.798819993,2.975394884,4.283867382,5.10065592,2.392934474,3.49020689,4.98394081,2.686751796,4.291474263,4.10803273,3.51171405,3.842648949,2.02909444,4.093822633,2.749214393,3.000637478,2.939344461,3.67903778,2.369770917,2.243967373,2.737943761,2.593461198,3.714296544,4.839883632,2.325807165
cg06950634>NA,6.513732148,7.452031367,5.869510325,6.651430155,5.248466212,5.45380531,6.322440743,4.936800582,6.236755125,5.14343003,5.484877279,5.897208528,4.006199423,5.054529441,4.978723745,3.435407064,3.835319991,4.388792908,5.940520497,4.26721722,4.992087872,4.464873835,3.903042657,5.159091249,5.719077745
cg10803829>DNAH2,2.353804898,2.550284774,3.919959232,1.627198234,3.147466417,2.495660558,3.24540658,5.020710103,2.745956144,2.117694773,3.206870628,2.601222607,5.585098485,2.874613987,4.599528823,3.101197073,1.738493312,2.988430193,5.785427011,5.710111432,4.925709098,3.535351708,2.364048268,2.6476067,3.983750571
cg07510714>NA,5.518041417,5.856007653,6.104454466,6.937992144,6.266258833,6.276893698,6.650159405,5.673902557,6.457268463,3.905760058,5.656151552,3.918560336,5.738653824,6.522838712,5.913942546,4.684449951,6.439108811,3.850199292,4.972793222,4.224582218,4.266685037,6.292018064,4.766057817,6.026977205,5.456388154
cg13836954>NA,5.662091087,6.91226507,6.021865742,7.536338284,6.392606626,5.289645582,5.937468356,6.730792129,7.832904358,7.265768208,7.080800437,7.290749845,5.642068509,5.788645359,7.127500598,5.102017916,6.179253177,6.459442794,6.954324479,6.153006442,5.598176225,5.521701307,7.138709419,4.988785703,7.108312911
cg16379671>NA,2.64428267,2.619034928,3.897844583,4.211053235,2.990502504,3.747861859,2.508419604,4.375380694,4.688285432,3.915537892,2.798975051,3.605758797,4.571942136,4.622652101,2.906517393,2.567991075,2.258047153,2.501328526,3.265328793,2.580419301,4.974245013,2.987505501,4.621430887,3.036064051,4.044823433
cg25354334>SPATA16,2.152552684,3.969541505,5.49557912,3.440217055,3.463755812,5.223752341,5.370913299,3.097179128,5.573227722,3.73669329,3.299158958,3.552513939,1.045771011,5.388776465,4.744063415,3.427141858,2.906608861,5.006628438,5.790386767,6.302860106,3.441328312,3.451312025,1.803719507,3.109693392,3.840860323
cg01449677>USP36,4.542996005,4.492863476,6.163558677,3.42568963,3.794698891,5.559011897,4.433455188,4.411227698,5.287723579,3.303673852,4.966612969,4.694958761,3.597453972,5.155155989,5.72473755,4.056333805,3.098632343,5.546177947,5.458555318,6.488840363,5.452638779,5.953389789,3.27830764,4.132835092,5.205616994
cg15676500>CAPZB,3.007560065,4.067954418,3.611091576,3.882853956,3.950242994,2.122626363,4.26375309,3.342742642,2.352436065,3.243138718,3.919093756,2.68010217,3.151579434,2.763222584,5.001733665,2.388204288,2.944049682,2.804479273,4.408855248,4.944730009,4.640565299,4.222044568,2.563767918,2.58194633,4.760947939
cg10968958>NLRP2,5.146348386,5.846176582,5.939187899,6.383375989,3.666932751,4.754913191,5.086983566,5.558061546,5.201231158,4.48665844,4.360339504,7.205407135,4.231243021,3.029162396,5.460406952,2.796484943,6.110567405,4.795268956,5.493819729,5.489536856,3.519673202,5.532269799,5.915232695,3.598543907,6.529530736
cg17031656>CELSR2,2.85277821,3.518266116,4.747461046,3.111500201,2.8371944,3.913223148,2.770512859,3.131567516,5.020309633,2.606352073,3.267362083,3.279319787,2.229631315,4.05144003,4.670909104,2.516425436,2.5032612,3.892111025,4.995885972,6.727209348,3.095422193,5.041904349,2.332225131,2.806605131,4.536191151
cg09763644>PIGR,3.611521296,4.27152616,3.497729659,5.241053519,4.912358167,3.618234487,4.843636246,4.379323198,5.150344136,4.967110401,2.886461411,4.613291937,4.386477438,3.939830679,3.717943031,2.994348898,4.61678325,4.493987417,3.20440813,2.701791548,3.209646662,3.067877163,4.082127046,5.560773076,2.798820513
cg07568117>PKD1,4.033818938,5.559574874,4.391338391,5.588460914,5.534206958,4.217799126,4.646727596,5.011859915,4.310386211,3.484780937,4.902590991,4.758504134,3.299959992,3.9059278,5.599883958,4.072416561,3.074145253,5.818899009,6.457208622,6.844709295,4.702362609,6.492661462,4.449225394,4.237288916,6.100776952
cg07088555>NA,6.656091883,6.300856291,6.322414468,7.892262211,6.679104904,5.47293135,7.227226142,6.127403874,5.395217594,4.737442905,5.500012515,6.676829176,7.521610594,4.600331037,5.977030817,4.699703585,4.184288786,5.46595838,4.109050079,3.621591866,6.274213834,5.158311051,7.273787853,6.809889282,5.703969379
cg15408722>PTPRN2,2.503586167,3.310082485,3.259791661,2.334095431,5.480762274,2.106855718,2.849628565,1.752606666,2.131834701,1.770446437,2.366149976,2.435876745,1.089142607,1.872146417,3.557903929,2.433531268,2.892224533,3.587287961,4.433953697,5.821641748,3.276764673,2.510740135,1.406820904,4.40593367,4.123315043
cg19103175>LOC641746,5.038339792,5.731771579,4.801120926,6.509208465,4.960112588,2.133005054,3.998973751,5.362885362,6.363116488,5.723175492,3.811461064,5.979905112,2.982206741,4.489053666,3.541312719,3.666191818,5.165298752,5.52292985,4.745568158,6.018254109,4.810868571,5.532308996,5.157250912,5.746027761,4.175298158
cg05898545>DIP2C;C10orf108,3.348926181,3.69917701,2.880278935,2.485100929,3.126328027,2.394734976,2.731540852,2.521530963,1.818325235,2.87371479,3.206055632,3.924526323,2.419285609,2.221878864,4.226687748,2.153611183,2.155817185,3.209650808,5.240180538,5.758129306,4.204240493,4.62652632,2.065953221,2.179869074,4.981464425
cg15731035>KCNAB2,4.876365729,3.60976433,3.36498948,3.884952992,3.072460386,2.736188725,4.617778766,5.385568176,1.366189364,2.240397033,4.597885509,4.778750979,3.53528332,2.480519871,5.561390668,3.795232882,3.388101303,3.475445455,3.303232789,4.941253115,4.068048516,5.314237728,3.789056547,3.889568152,4.732989303
cg07400057>RBMXL2,7.467774721,7.792149117,6.924414458,7.833502106,6.043492636,5.858661854,7.399702846,7.092453694,6.912880795,6.619090417,5.820165273,7.228324157,4.912549374,7.346005332,6.31706632,3.960680787,5.658680855,5.561229338,5.185417855,5.182721704,6.240995589,6.648952145,6.480322009,6.51606782,5.11707705
cg20978923>TNFRSF8,1.716043863,3.775432864,2.826038629,4.195796435,2.634027484,2.751701377,4.580612258,1.824127057,3.458345283,1.969648536,3.573122729,3.159517704,1.358918898,3.93254075,3.298443322,2.787467427,3.434697779,2.35151642,1.023870056,3.486273517,2.631778109,2.002749062,0.674922002,2.169780851,2.268142735
cg07924013>ZNF598,6.443170664,4.769121946,5.722194709,4.802159601,5.99862069,6.479299698,5.231382379,4.247584356,3.464287819,5.920840489,5.177306371,4.793011278,3.307677736,3.525161711,6.153458662,3.1231633,3.072367036,4.83022784,5.701338521,4.958473466,4.693152476,7.371534552,4.89778038,6.001456975,7.752130074
cg23583168>NA,5.475977389,3.613586333,5.849288291,5.936157644,4.767329853,7.65825942,5.848718738,5.252887098,6.56241922,2.535583182,7.799216203,6.095544422,5.133100959,5.029623646,3.598742887,4.850789487,2.354659503,8.075369235,5.662126526,2.892132967,7.794354282,7.912990449,5.715089975,3.212668831,5.765206031
cg15858679>ERP27,2.89441462,3.378590926,3.429946097,2.212670546,3.759691102,3.863994581,2.325685922,3.016822788,2.196102706,3.097448613,3.533784471,3.114510187,2.189102549,2.825193537,4.087516379,2.154670372,2.042524209,3.634429668,4.715821244,4.936882573,3.962092251,3.869018533,2.253321763,3.093126397,3.551029048
cg26090406>COL4A1,4.476348162,4.787044188,3.742132251,5.675548106,2.230463158,3.142343133,2.844912368,3.101884705,4.842839083,2.746804689,4.696569551,4.5910441,4.23084549,3.584606495,2.395457839,3.972709735,4.158258682,4.713071303,2.304774039,3.715843515,4.347021876,4.975659031,3.492844985,3.142247,4.327811297
cg20704654>NCRNA00028;REM1,5.178008845,5.39982524,6.370838989,6.331407661,4.303684087,5.578812164,5.867171643,5.798494131,6.727091606,5.216405368,4.442979353,5.59343616,5.193981777,4.811016307,4.175285239,4.263444141,6.184790894,5.972583597,3.020281402,3.328792953,4.205309195,5.139780203,6.555028116,5.425886942,4.509782393
cg05729804>HS6ST1,6.240474154,5.522968493,6.029845956,6.267393194,6.697204406,4.817484042,6.41822452,5.967087698,3.954348045,5.762325143,4.953432178,5.085218875,4.876421143,4.269037984,6.841168885,4.008065336,4.57836171,5.018403181,6.284617054,6.101049866,6.728196897,6.357596762,4.935992545,6.811972637,6.479459492
