gene_id,Groups,Category,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54
cpg7,Group,D1,0.94487514,0.9348181,0.942317556,0.941838364,0.957604376,0.959388396,0.961056034,0.91019203,0.943850037,0.941683806,0.949221195,0.944255097,0.937294887,0.919533914,0.954012133,0.945727209,0.931069118,0.944054702,0.916364325,0.955147799,0.939009692,0.940630175,0.957531568,0.956047653,0.934677017,0.952280655,0.953554293,0.958224092,0.956776132,0.960385081,0.94787594,0.934727739,0.860484695,0.967444444,0.957338465,0.935910631,0.930343011,0.95021404,0.900564547,0.734418816,0.940381833,0.961043957,0.903015505,0.959154815,0.816684015,0.962011965,0.828847394,0.762773658,0.965825663,0.902609276,0.890575464,0.945711982,0.942444633,0.961254324
cpg8,Group,D1,0.679948831,0.736921187,0.572461313,0.473703691,0.760755843,0.595065571,0.580873299,0.58250339,0.73620502,0.651680908,0.654339814,0.670730453,0.671139494,0.651423914,0.68329172,0.675364082,0.647315764,0.619552926,0.671730731,0.700293394,0.617041543,0.640655305,0.751803733,0.724005271,0.631182578,0.668747408,0.625414804,0.44025467,0.712217481,0.685455155,0.594637438,0.692121842,0.65292967,0.795963283,0.686596514,0.32522808,0.67440252,0.75770519,0.77421018,0.551354408,0.658938678,0.773940214,0.817061218,0.761190676,0.719601715,0.804910915,0.76239009,0.778908225,0.8206881,0.808466254,0.604963323,0.622245701,0.752912779,0.295556767
cpg9,Group,D1,0.668710678,0.648417762,0.66879421,0.632155872,0.695501919,0.660851134,0.689710529,0.581522021,0.678715039,0.647558217,0.603968952,0.618638044,0.684043841,0.63465075,0.655701399,0.630132638,0.596198541,0.585200835,0.692616571,0.68554501,0.612174211,0.670920497,0.523695579,0.658853529,0.627247968,0.635274666,0.482487914,0.55177577,0.520439311,0.521049659,0.483495661,0.38220279,0.685597706,0.518290228,0.455848071,0.641588947,0.675929859,0.514174019,0.462223506,0.270922031,0.597174097,0.471049084,0.682929835,0.420550227,0.647651677,0.221444147,0.35978943,0.689403566,0.466029168,0.458587243,0.581445982,0.588957377,0.266684059,0.167482554
cpg10,Group,D1,0.90940868,0.900507906,0.908196999,0.929201301,0.924583292,0.907863348,0.887643647,0.819015999,0.889754836,0.900699242,0.905314876,0.877150309,0.870641464,0.880099342,0.896153131,0.860383159,0.897353096,0.895086711,0.869663834,0.891170336,0.885885149,0.892069095,0.876869472,0.870426673,0.899684696,0.890156441,0.899342451,0.892598382,0.862643118,0.938667362,0.861795233,0.871629984,0.90004251,0.859055349,0.881497343,0.90495461,0.914814953,0.896487392,0.881257156,0.868166258,0.893619314,0.858641244,0.878050483,0.878361953,0.894661129,0.783278642,0.860866183,0.798735222,0.876138995,0.862162461,0.878482772,0.895165211,0.879932522,0.86808759
cpg11,Group,D1,0.712468781,0.755910643,0.694075894,0.524937993,0.68021617,0.661850823,0.716518013,0.70294636,0.750522017,0.622860013,0.710483556,0.77022714,0.72871629,0.652329777,0.679494964,0.653992113,0.6391916,0.620468067,0.674187268,0.645953236,0.577490428,0.675730347,0.609535935,0.665613589,0.653979339,0.574581902,0.642693794,0.606798797,0.586385855,0.730724832,0.461640249,0.576300513,0.48758942,0.477266536,0.754592199,0.628299844,0.767703728,0.655456679,0.702255722,0.583808823,0.754897111,0.668226044,0.572219884,0.72657327,0.744366974,0.620963986,0.397525514,0.452319411,0.624664879,0.762777975,0.672539654,0.698070747,0.766691587,0.049766967
cpg12,Group,D1,0.77616922,0.74289275,0.796676194,0.753147876,0.784215065,0.782526793,0.739559497,0.727509781,0.81447255,0.731978546,0.735923247,0.740681165,0.711647474,0.746616212,0.751291406,0.611783455,0.767152561,0.740420977,0.717126009,0.746308848,0.732319498,0.781666838,0.571426475,0.745223144,0.747607574,0.709224189,0.626551826,0.412425996,0.649583168,0.852266951,0.451447549,0.747426855,0.368174605,0.760707082,0.79903743,0.812824967,0.774729469,0.414657159,0.371817069,0.297316747,0.56493605,0.500122188,0.635256629,0.156639874,0.519759904,0.237684341,0.782009071,0.193140371,0.7383741,0.64126501,0.580638269,0.571427039,0.264352322,0.421315006
cpg13,Group,D1,0.992415306,0.986828087,0.991022269,0.988376881,0.987389382,0.992343739,0.988086821,0.985108892,0.991541487,0.985772808,0.988646572,0.988551056,0.989143184,0.990807448,0.987489007,0.988182165,0.988373985,0.989244463,0.990051889,0.990319693,0.989451892,0.988229008,0.988187532,0.991459612,0.991349285,0.988413799,0.990672314,0.991837416,0.990634045,0.992964843,0.987488021,0.990011052,0.988169174,0.989850377,0.990757359,0.990224696,0.988925221,0.990940347,0.988765579,0.990943513,0.989305411,0.98783697,0.988586249,0.989560559,0.990522789,0.991116293,0.990373112,0.989603593,0.98961828,0.991526848,0.989496015,0.991681967,0.981982258,0.992802821
cpg14,Group,D1,0.900332031,0.902574348,0.890439497,0.763739015,0.948921024,0.928720669,0.919617187,0.922719073,0.935839534,0.897515262,0.908272175,0.904736436,0.921899988,0.920186356,0.91450323,0.889972945,0.892519537,0.910674619,0.914523292,0.942511222,0.895350593,0.91400326,0.853388043,0.903335404,0.921725571,0.899167935,0.774860196,0.770340841,0.894713537,0.896954014,0.890869088,0.965509193,0.870149407,0.896777642,0.891110625,0.735020008,0.913443639,0.924946029,0.805110724,0.939065969,0.934443368,0.840800498,0.749048847,0.90019578,0.911395444,0.945148651,0.863419247,0.880742193,0.910496204,0.899200384,0.87515247,0.883064535,0.83746466,0.157318874
cpg15,Group,D1,0.248395114,0.112405504,0.148857195,0.14888189,0.219052119,0.153198204,0.255843394,0.182837502,0.190477245,0.207980845,0.267121615,0.205359005,0.288734835,0.2238241,0.310361903,0.22196015,0.218695199,0.19028535,0.224085746,0.239284311,0.171014837,0.257362999,0.255635083,0.236680651,0.148792655,0.247100511,0.2213839,0.184583835,0.184339887,0.362335663,0.206372488,0.447175428,0.069053081,0.394371299,0.440880783,0.216638619,0.320847722,0.097879109,0.266069702,0.4537642,0.274771365,0.228210691,0.623164191,0.068937169,0.382855028,0.766612914,0.291665759,0.111436764,0.51228673,0.560232769,0.147296234,0.087638833,0.149221377,0.045038084
cpg16,Group,D1,0.939488391,0.954951284,0.929379017,0.935823175,0.936905228,0.942607675,0.926114851,0.928468604,0.946096761,0.944781342,0.936686831,0.931598239,0.941149127,0.942561682,0.949192913,0.944083176,0.94436498,0.951322755,0.941096474,0.933078839,0.941804657,0.937694411,0.899610833,0.940599109,0.929648223,0.937740568,0.910660466,0.93288056,0.921794265,0.933257051,0.91610862,0.956684788,0.938765395,0.935628254,0.959950915,0.948183759,0.959984893,0.919017825,0.916394032,0.93288533,0.932184812,0.886689433,0.927636008,0.921492387,0.858032494,0.947363384,0.884049278,0.920204805,0.920371237,0.922677451,0.926618333,0.953246064,0.933783613,0.908126279
cpg17,Group,D1,0.044156988,0.063285705,0.052322843,0.062849623,0.059673708,0.046512594,0.054177574,0.046601689,0.056977526,0.056833333,0.049897008,0.051358597,0.053048778,0.058398372,0.06693577,0.048268537,0.051191839,0.055657049,0.056379966,0.05469632,0.05063934,0.075961328,0.064124814,0.063188609,0.04865856,0.047690251,0.036649111,0.103696325,0.07978805,0.092359663,0.136082779,0.333802903,0.112428579,0.04884498,0.197062072,0.128970662,0.093566843,0.045082823,0.306605011,0.224203383,0.142909269,0.174866984,0.036420232,0.058538486,0.146601148,0.070829982,0.058815788,0.497853873,0.106507348,0.717615225,0.509065003,0.044261181,0.044664555,0.044858066
cpg18,Group,D1,0.153426469,0.17977533,0.110155878,0.228301888,0.123548391,0.112236262,0.178527524,0.077480431,0.163111554,0.137988161,0.142299421,0.134492157,0.132224638,0.086126946,0.107763949,0.094402149,0.133623769,0.120767602,0.128185777,0.090255876,0.125487143,0.162387708,0.095767222,0.124025784,0.121584499,0.120464026,0.054194685,0.416280768,0.18224509,0.205303105,0.215839538,0.254340425,0.494502099,0.068739533,0.39125611,0.357247567,0.473771917,0.383622577,0.180701453,0.533682056,0.162192417,0.680954129,0.523820896,0.056414414,0.486238305,0.26831867,0.747740105,0.441544344,0.433141591,0.5253517,0.530237868,0.134583101,0.084062689,0.014320358
cpg19,Group,D1,0.569927314,0.567452082,0.545969543,0.457804177,0.593314825,0.472372128,0.513715709,0.477729221,0.543757268,0.5172577,0.519407198,0.574719719,0.534796062,0.543094104,0.504254454,0.47128492,0.463858625,0.502170606,0.502523451,0.447292688,0.497518958,0.521033969,0.318786756,0.387046752,0.564599234,0.545002808,0.325183719,0.45257372,0.527457409,0.54411161,0.60022884,0.624106639,0.671223343,0.624926743,0.577159241,0.420380979,0.557092989,0.583682739,0.658247499,0.779628336,0.598766695,0.690022648,0.694708578,0.716195567,0.675740132,0.756834757,0.743434941,0.660873557,0.592576746,0.680659086,0.506278856,0.64523772,0.65519607,0.835603692
cpg20,Group,D1,0.986465552,0.987326984,0.987684276,0.985969062,0.987480785,0.988330013,0.988580718,0.989986368,0.988617278,0.987039287,0.987402119,0.98845223,0.985924263,0.988206174,0.990079881,0.987325891,0.984060312,0.989566054,0.987164227,0.987755966,0.990145662,0.986784871,0.976337001,0.991136053,0.987092873,0.988069401,0.809626308,0.51265142,0.978605208,0.989211148,0.975283924,0.985410382,0.755213016,0.989520495,0.988307726,0.988415879,0.988133869,0.921833699,0.949675834,0.51469711,0.986052311,0.988097744,0.9867645,0.985639203,0.963689874,0.990062883,0.729500823,0.970961912,0.989357527,0.976496701,0.988751458,0.926793858,0.984715766,0.110319852
cpg21,Group,D1,0.975887323,0.978099866,0.978692144,0.966164712,0.967798612,0.977847759,0.97686481,0.972604651,0.973594818,0.946055274,0.962993907,0.970720624,0.980903163,0.964697082,0.976452381,0.966371909,0.980054723,0.972371561,0.974561254,0.979360562,0.978081647,0.964769614,0.972747614,0.96924221,0.978904407,0.977655412,0.929346317,0.973697541,0.971272679,0.973676915,0.972153338,0.891267528,0.978974985,0.974937015,0.97436464,0.940505904,0.977092456,0.974938554,0.970587642,0.945965947,0.972961236,0.97718426,0.976715282,0.968836933,0.975166322,0.8963278,0.854947973,0.97018445,0.965574932,0.979044659,0.934403647,0.971721334,0.969894395,0.140106826
cpg22,Group,D1,0.893589863,0.871082358,0.879168153,0.826618936,0.876816483,0.89196051,0.809347247,0.832165792,0.879823629,0.843393242,0.874841518,0.894035755,0.887975498,0.871958221,0.873687461,0.833225685,0.861937249,0.84315854,0.857660579,0.831383535,0.83645293,0.872463504,0.855502103,0.867486394,0.868048108,0.859726834,0.851769254,0.708493048,0.8413493,0.889209186,0.69671698,0.660414936,0.727041654,0.736569375,0.788146165,0.868782146,0.868658173,0.749127959,0.827776339,0.698051149,0.851529532,0.879555558,0.704523087,0.763683366,0.857102303,0.733264763,0.634190163,0.806983076,0.728220358,0.756354292,0.749866337,0.8733225,0.86312115,0.887234949
cpg23,Group,D1,0.842884768,0.872654425,0.777698183,0.812122539,0.814563949,0.705294107,0.801993412,0.817130392,0.840563149,0.781273861,0.713208495,0.826099582,0.739195558,0.680504668,0.736629306,0.738177534,0.83179644,0.782622318,0.71324309,0.788530748,0.762250555,0.760572005,0.391635463,0.664062911,0.780691841,0.755366939,0.670530587,0.58970606,0.602467178,0.749235144,0.735035961,0.699160989,0.727420541,0.774183905,0.660813399,0.680889965,0.829029604,0.721961742,0.758861244,0.769580093,0.763681254,0.872397947,0.773651828,0.864905727,0.889803488,0.816402144,0.304476966,0.686560425,0.615434616,0.785332423,0.729024103,0.798173717,0.744488693,0.553022482
cpg24,Group,D1,0.820269422,0.822934513,0.792633963,0.780217291,0.809829052,0.794783713,0.797668481,0.464855099,0.802173986,0.783450801,0.787494926,0.797419799,0.819663639,0.768950353,0.809566043,0.771683856,0.798817603,0.809481664,0.804323976,0.815666178,0.78431036,0.799205124,0.753620582,0.824337098,0.803817299,0.790491911,0.736328716,0.752909986,0.783081437,0.795030267,0.763872331,0.840364571,0.78782262,0.825865422,0.487868038,0.771355612,0.820133842,0.808802628,0.816673227,0.831344088,0.821467275,0.811470543,0.822366798,0.797552751,0.800271631,0.813904334,0.85236314,0.764881088,0.831945503,0.812790347,0.763306324,0.775986877,0.782963521,0.351236935
cpg25,Group,D1,0.900550926,0.870643652,0.900170913,0.803622186,0.926072306,0.911630799,0.874248381,0.886331837,0.914234776,0.852049034,0.884784229,0.889209557,0.87823839,0.859189303,0.867497771,0.916285648,0.853083436,0.862206649,0.842010918,0.84569248,0.83177269,0.873988831,0.854568703,0.83764647,0.865655052,0.897465565,0.842222006,0.793900259,0.867049778,0.848153389,0.766475197,0.891834464,0.832225861,0.868217254,0.878798711,0.767088789,0.818270258,0.902802124,0.891611418,0.882391438,0.864912175,0.869503149,0.877768651,0.857205536,0.852563159,0.88883589,0.836945289,0.816723653,0.893902406,0.88795458,0.765200901,0.845460137,0.810862549,0.733189274
cpg26,Group,D1,0.919193319,0.958002975,0.956474547,0.940044165,0.946874283,0.947439233,0.964196493,0.962159564,0.96316372,0.953790665,0.956912585,0.950132801,0.958322732,0.961696191,0.969087682,0.958231342,0.946553592,0.972846023,0.947131967,0.960586803,0.943560356,0.965626334,0.948584258,0.955864052,0.886585815,0.961722633,0.90846762,0.934611333,0.947695201,0.917225608,0.893708343,0.953712774,0.943949721,0.963393329,0.950714772,0.897927153,0.949266279,0.966849955,0.956330775,0.952506314,0.9617688,0.966712336,0.94418331,0.950610229,0.949204895,0.932405221,0.957466959,0.912859816,0.946099117,0.957778771,0.960588471,0.95046875,0.938255545,0.67628549
cpg27,Group,D1,0.939308123,0.95809478,0.94474454,0.922313406,0.947671335,0.961711488,0.953500114,0.95413867,0.934789905,0.937017499,0.930787794,0.951123514,0.96065904,0.943789589,0.95370873,0.957734223,0.94038043,0.950609915,0.959159203,0.954937732,0.95869183,0.961260338,0.932396255,0.956533278,0.947130878,0.947638875,0.926640441,0.918455159,0.948856467,0.951226661,0.928607788,0.919815996,0.948277753,0.859417085,0.945527255,0.955140963,0.959225928,0.947431176,0.930566029,0.895391466,0.944522118,0.947883713,0.916834236,0.941271666,0.959767202,0.843417449,0.802360607,0.891220881,0.891884972,0.949199798,0.940946273,0.919336092,0.937363113,0.86995924
cpg28,Group,D1,0.115341811,0.155709087,0.167948127,0.335798139,0.172797155,0.211853762,0.221269625,0.193588989,0.171886713,0.301462974,0.194740495,0.213675958,0.291185117,0.290201603,0.20817452,0.240891307,0.15080582,0.217525111,0.245496175,0.193178498,0.207284968,0.274888254,0.206814835,0.354575816,0.225491012,0.233294964,0.273391708,0.305207846,0.302955823,0.466170227,0.45582252,0.550316933,0.571601361,0.237730293,0.42980136,0.274955357,0.591693402,0.197779281,0.265984783,0.180967196,0.534234547,0.062713264,0.620169606,0.073749527,0.088967438,0.048456505,0.232203291,0.502017609,0.559962566,0.190452978,0.588342437,0.219681153,0.095859003,0.029496005
cpg29,Group,D1,0.835941932,0.882604641,0.868470383,0.770519924,0.847185339,0.81590938,0.877078373,0.780674196,0.829326717,0.833171548,0.784748662,0.891736699,0.838268805,0.833788982,0.81434752,0.862011054,0.863646829,0.876270178,0.766090988,0.758033951,0.848411407,0.767612112,0.659014523,0.800459942,0.830389633,0.863197709,0.726988962,0.635095567,0.737851149,0.864810832,0.759891637,0.713461175,0.72937109,0.848159637,0.828459491,0.739390401,0.883349022,0.791578571,0.864406849,0.763890327,0.889361729,0.664292735,0.921475937,0.702239441,0.889192013,0.58643175,0.674167405,0.627100742,0.872203762,0.846896632,0.760599647,0.7649005,0.742546314,0.099676053
cpg30,Group,D1,0.59643542,0.515787151,0.577809779,0.860205519,0.605029839,0.646352802,0.623470337,0.597554648,0.735780434,0.627496857,0.506306233,0.562764984,0.55910825,0.601568462,0.610601752,0.388862331,0.535502844,0.600919768,0.663564689,0.54639321,0.555415741,0.678039368,0.548942272,0.527065172,0.657801031,0.592219128,0.609746015,0.635476195,0.501921533,0.476429565,0.760338366,0.87405282,0.692254768,0.799122084,0.444414101,0.860930917,0.443458083,0.383356459,0.381246307,0.663210683,0.390283672,0.670671565,0.779682702,0.316834256,0.643940614,0.546585212,0.220097326,0.663141389,0.3938695,0.318319228,0.546704856,0.83627591,0.638970975,0.063036752
cpg31,Group,D1,0.892282477,0.882192131,0.887036111,0.695430821,0.861315053,0.816567886,0.843461814,0.881866194,0.863939754,0.86923236,0.796852391,0.898857984,0.857640006,0.810575995,0.805554133,0.888015397,0.895770052,0.927194869,0.789566677,0.834495569,0.802623525,0.785844821,0.575402901,0.743250519,0.925280826,0.851805364,0.754564943,0.715477951,0.685064308,0.804424014,0.460850868,0.738310469,0.672460024,0.845321405,0.804077648,0.72411854,0.540171094,0.778223573,0.428663852,0.918135912,0.852603761,0.822780838,0.871745733,0.451563018,0.785305898,0.866006538,0.884867113,0.461067173,0.72922002,0.793292094,0.686716495,0.672157583,0.676035361,0.638212617
cpg32,Group,D1,0.020839195,0.018934097,0.022681657,0.02990533,0.019824773,0.029611929,0.037005639,0.046528863,0.020722887,0.027864705,0.076477159,0.026023378,0.034191727,0.021961496,0.016662508,0.01806105,0.020609633,0.032973047,0.025100019,0.020720472,0.036696735,0.031159754,0.032257676,0.021608127,0.022265519,0.019682732,0.024692078,0.033303576,0.036697714,0.057452992,0.026635024,0.037225713,0.042493127,0.015667705,0.020810698,0.037201953,0.0286123,0.023140515,0.021350465,0.030589974,0.033310352,0.027762668,0.019413223,0.017401052,0.056660059,0.016780249,0.024833369,0.018590046,0.030114253,0.020402838,0.049472748,0.055615957,0.02302136,0.017574211
cpg33,Group,D1,0.047075671,0.071451613,0.039731956,0.042239848,0.044360783,0.042748663,0.038197436,0.036735329,0.032076185,0.069041407,0.062583109,0.042807178,0.04888547,0.045953769,0.047293376,0.048894934,0.062127018,0.049680536,0.046072309,0.044036324,0.037447951,0.053001291,0.049748495,0.03056483,0.04743113,0.028449983,0.050033545,0.043001223,0.091911104,0.109507597,0.042641151,0.09798643,0.050024295,0.126807085,0.0845994,0.06676079,0.084377192,0.058007108,0.044353751,0.238973932,0.1149872,0.05235418,0.276329653,0.052562865,0.062711375,0.192382849,0.320661493,0.052300468,0.075641244,0.415240704,0.188115313,0.04455765,0.042129926,0.04005441
cpg34,Group,D1,0.913961924,0.936920376,0.91291242,0.92585366,0.932322474,0.933128418,0.925329932,0.912908691,0.914892468,0.899230006,0.932748008,0.921479025,0.921997563,0.915611246,0.910316665,0.913726125,0.912640923,0.928931276,0.905229551,0.914319054,0.917391731,0.933987505,0.90450419,0.921685554,0.895986245,0.933392804,0.910218675,0.887244252,0.852545943,0.924433317,0.912995894,0.749806167,0.821404603,0.939911794,0.918172709,0.952258941,0.931973572,0.918921962,0.902989832,0.928761946,0.934259642,0.934641082,0.921579427,0.949087672,0.925937513,0.889328193,0.794344567,0.921144477,0.867450136,0.940242455,0.909913192,0.854979041,0.925506878,0.858616348
cpg35,Group,D1,0.24078398,0.19889721,0.327482372,0.565744079,0.240301603,0.437058081,0.314407959,0.215488594,0.23740815,0.333466976,0.35852388,0.25282259,0.328957329,0.307994234,0.323488057,0.377193534,0.303586709,0.344955676,0.3850124,0.303795966,0.300823336,0.378042897,0.612586809,0.440212619,0.203807329,0.333577416,0.652882308,0.546585149,0.385997612,0.463876603,0.374049663,0.312669491,0.382758105,0.210452587,0.23995945,0.593364695,0.331545887,0.297454701,0.233754544,0.086618134,0.30185483,0.154772302,0.12284171,0.156816299,0.213077621,0.153666354,0.118691809,0.21297033,0.316757399,0.208631593,0.364263418,0.437376453,0.342863591,0.082770622
cpg36,Group,D1,0.963793046,0.957950877,0.964986704,0.953674863,0.957825432,0.956126933,0.966808848,0.951535235,0.970389078,0.955154178,0.95726125,0.962674646,0.950683375,0.959933833,0.969133644,0.965850191,0.954576942,0.956780472,0.949745502,0.956661354,0.947614473,0.955517333,0.945905902,0.966590903,0.951487884,0.948608085,0.953416817,0.970345582,0.96379281,0.956296034,0.945961235,0.957064154,0.961111438,0.943882214,0.948394724,0.953656849,0.958200396,0.959198812,0.94810887,0.943353766,0.955316221,0.956885977,0.949195027,0.929861355,0.950187275,0.950874552,0.944190339,0.958233622,0.950065012,0.960761273,0.950471906,0.945540027,0.938927067,0.960331442
cpg37,Group,D1,0.782930694,0.862828913,0.788017392,0.872086686,0.867284929,0.834342743,0.793916504,0.733722328,0.813995326,0.781869027,0.818139612,0.851597274,0.821245907,0.821373302,0.831631488,0.800946572,0.853155722,0.76511383,0.808078638,0.838773529,0.754393442,0.845277534,0.787499226,0.854964984,0.850558165,0.753772918,0.787929499,0.676102583,0.901568728,0.785819788,0.665454665,0.661982829,0.80202295,0.761537791,0.877998724,0.848225426,0.888132695,0.78268952,0.752036026,0.557952196,0.834771023,0.955341046,0.800903152,0.892540431,0.720887415,0.653622206,0.366349937,0.653270437,0.893611692,0.598329993,0.784712725,0.842243849,0.67361085,0.625595566
cpg38,Group,D1,0.862829649,0.879952418,0.714799799,0.632295893,0.861515067,0.66373168,0.900506186,0.796075222,0.831925285,0.823354341,0.867517471,0.895737461,0.87311795,0.867043372,0.859845435,0.842725642,0.882287046,0.82995517,0.822138589,0.860932832,0.850835632,0.857522283,0.661698829,0.806630654,0.848607996,0.893030495,0.564273597,0.674762503,0.873723534,0.765493035,0.729844023,0.8616321,0.701348657,0.913328325,0.899052548,0.58310017,0.793760299,0.858428199,0.914467485,0.906233754,0.879059136,0.907398085,0.891373353,0.901904895,0.868264461,0.898037953,0.823534179,0.704674741,0.881264091,0.884902137,0.817281844,0.845113343,0.602841443,0.048098721
